 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
1,47.223590,47.223760,47.223760,47.223760,47.223760,47.223760,47.223760,47.223760,47.223760,47.223760,47.223760,
2,47.230190,47.230370,47.230370,47.230370,47.230370,47.230370,47.230370,47.230370,47.230370,47.230370,47.230370,
3,47.241600,47.241780,47.241780,47.241780,47.241780,47.241780,47.241780,47.241780,47.241780,47.241780,47.241780,
4,47.220330,47.220500,47.220500,47.220500,47.220500,47.220500,47.220500,47.220500,47.220500,47.220500,47.220500,
5,47.177070,47.177240,47.177240,47.177240,47.177240,47.177240,47.177240,47.177240,47.177240,47.177240,47.177240,
6,47.108300,47.108470,47.108470,47.108470,47.108470,47.108470,47.108470,47.108470,47.108470,47.108470,47.108470,
7,47.091820,47.091990,47.091990,47.091990,47.091990,47.091990,47.091990,47.091990,47.091990,47.091990,47.091990,
8,47.101040,47.101210,47.101210,47.101210,47.101210,47.101210,47.101210,47.101210,47.101210,47.101210,47.101210,
9,47.089200,47.089380,47.089380,47.089380,47.089380,47.089380,47.089380,47.089380,47.089380,47.089380,47.089380,
10,47.087730,47.087900,47.087900,47.087900,47.087900,47.087900,47.087900,47.087900,47.087900,47.087900,47.087900,
11,47.082530,47.082710,47.082710,47.082710,47.082710,47.082710,47.082710,47.082710,47.082710,47.082710,47.082710,
12,47.081200,47.081370,47.081370,47.081370,47.081370,47.081370,47.081370,47.081370,47.081370,47.081370,47.081370,
13,50.203490,50.203670,50.203670,50.203670,50.203670,50.203670,50.203670,50.203670,50.203670,50.203670,50.203670,
14,47.078740,47.078910,47.078910,47.078910,47.078910,47.078910,47.078910,47.078910,47.078910,47.078910,47.078910,
15,47.076770,47.076940,47.076940,47.076940,47.076940,47.076940,47.076940,47.076940,47.076940,47.076940,47.076940,
16,47.065270,47.065440,47.065440,47.065440,47.065440,47.065440,47.065440,47.065440,47.065440,47.065440,47.065440,
17,47.065530,47.065700,47.065700,47.065700,47.065700,47.065700,47.065700,47.065700,47.065700,47.065700,47.065700,
18,47.074680,47.074850,47.074850,47.074850,47.074850,47.074850,47.074850,47.074850,47.074850,47.074850,47.074850,
19,47.078850,47.079030,47.079030,47.079030,47.079030,47.079030,47.079030,47.079030,47.079030,47.079030,47.079030,
20,47.087520,47.087690,47.087690,47.087690,47.087690,47.087690,47.087690,47.087690,47.087690,47.087690,47.087690,
21,47.088080,47.088260,47.088260,47.088260,47.088260,47.088260,47.088260,47.088260,47.088260,47.088260,47.088260,
22,47.090740,47.090920,47.090920,47.090920,47.090920,47.090920,47.090920,47.090920,47.090920,47.090920,47.090920,
23,47.105430,47.105600,47.105600,47.105600,47.105600,47.105600,47.105600,47.105600,47.105600,47.105600,47.105600,
24,47.115940,47.116110,47.116110,47.116110,47.116110,47.116110,47.116110,47.116110,47.116110,47.116110,47.116110,
25,47.155430,47.155610,47.155610,47.155610,47.155610,47.155610,47.155610,47.155610,47.155610,47.155610,47.155610,
26,47.231490,47.231670,47.231670,47.231670,47.231670,47.231670,47.231670,47.231670,47.231670,47.231670,47.231670,
27,47.321090,47.321270,47.321270,47.321270,47.321270,47.321270,47.321270,47.321270,47.321270,47.321270,47.321270,
28,47.613050,47.613230,47.613230,47.613230,47.613230,47.613230,47.613230,47.613230,47.613230,47.613230,47.613230,
29,48.029310,48.029480,48.029480,48.029480,48.029480,48.029480,48.029480,48.029480,48.029480,48.029480,48.029480,
30,48.232220,48.232390,48.232390,48.232390,48.232390,48.232390,48.232390,48.232390,48.232390,48.232390,48.232390,
31,47.966460,47.966630,47.966630,47.966630,47.966630,47.966630,47.966630,47.966630,47.966630,47.966630,47.966630,
32,47.400820,47.401000,47.401000,47.401000,47.401000,47.401000,47.401000,47.401000,47.401000,47.401000,47.401000,
33,47.252030,47.252210,47.252210,47.252210,47.252210,47.252210,47.252210,47.252210,47.252210,47.252210,47.252210,
34,47.425640,47.425810,47.425810,47.425810,47.425810,47.425810,47.425810,47.425810,47.425810,47.425810,47.425810,
35,47.193700,47.193870,47.193870,47.193870,47.193870,47.193870,47.193870,47.193870,47.193870,47.193870,47.193870,
