Id,Source,Target,,,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,2,1,,,6965.185778,6941.574326,6917.962563,6894.350811,6917.962563,6941.574326,6965.186109,6988.797914,7012.409763,7036.021741,7012.409763,6988.797914,6965.186109,6941.574326,6917.962563,6894.350811,6917.962565,6941.574326,6965.186109,6988.797914,7012.409763,7036.021741,7012.409763,6988.797914,6965.186109,6941.574326,6917.962563,6894.350811,6917.962563,6941.574326,6965.186109,6988.797914,7012.409763,7036.021741,7012.409763,6988.797914,6965.186109,6941.574326,6917.962563,6894.350811,6917.962563,6941.574326,6965.186109,6988.797914,7012.409763,7036.021742,7012.409763,6988.797914,6965.186109
2,2,3,,,9777.715848,9744.571181,9711.425425,9678.279668,9711.425425,9744.571181,9777.716963,9810.862765,9844.008613,9877.154592,9844.008613,9810.862765,9777.716963,9744.571178,9711.425425,9678.279668,9711.425425,9744.571181,9777.716963,9810.862765,9844.008613,9877.154594,9844.008613,9810.862765,9777.716963,9744.571181,9711.425422,9678.279664,9711.425425,9744.571181,9777.716963,9810.862765,9844.008613,9877.154592,9844.008613,9810.862765,9777.716963,9744.571181,9711.425425,9678.279668,9711.425425,9744.571181,9777.716963,9810.862765,9844.008613,9877.154594,9844.008613,9810.862765,9777.716963
3,4,3,,,15211.27938,15159.71603,15108.15051,15056.58498,15108.15051,15159.71603,15211.2816,15262.84716,15314.41276,15365.97846,15314.41276,15262.84716,15211.28159,15159.71603,15108.15051,15056.58498,15108.15051,15159.71603,15211.28159,15262.84716,15314.41276,15365.97846,15314.41276,15262.84716,15211.28159,15159.71603,15108.15051,15056.58498,15108.15051,15159.71603,15211.28159,15262.84716,15314.41276,15365.97846,15314.41276,15262.84716,15211.2816,15159.71603,15108.15051,15056.58498,15108.15051,15159.71603,15211.28159,15262.84716,15314.41276,15365.97846,15314.41276,15262.84716,15211.28159
4,1,4,,,4900.185436,4883.574375,4866.962613,4850.350858,4866.962613,4883.574375,4900.186156,4916.797959,4933.40981,4950.021788,4933.40981,4916.797959,4900.186156,4883.574375,4866.962613,4850.350856,4866.962613,4883.574375,4900.186155,4916.797959,4933.40981,4950.021788,4933.40981,4916.797959,4900.186154,4883.574375,4866.962613,4850.350858,4866.962613,4883.574375,4900.186156,4916.797959,4933.40981,4950.021788,4933.40981,4916.797959,4900.186156,4883.574375,4866.962613,4850.350856,4866.962613,4883.574375,4900.186155,4916.797959,4933.40981,4950.021788,4933.40981,4916.797959,4900.186155
5,4,5,,,27025.41364,26933.80314,26842.18455,26750.56625,26842.18455,26933.80314,27025.42207,27117.0416,27208.6623,27300.28579,27208.66231,27117.0416,27025.42207,26933.80314,26842.18455,26750.56625,26842.18456,26933.80314,27025.42207,27117.0416,27208.66231,27300.28579,27208.66231,27117.0416,27025.42207,26933.80314,26842.18455,26750.56625,26842.18456,26933.80314,27025.42207,27117.0416,27208.66231,27300.28579,27208.66231,27117.0416,27025.42207,26933.80314,26842.18455,26750.56625,26842.18456,26933.80314,27025.42207,27117.0416,27208.6623,27300.28579,27208.6623,27117.0416,27025.42207
6,5,6,,,20967.32868,20896.26379,20825.19118,20754.11874,20825.19118,20896.26379,20967.33671,21038.41016,21109.48472,21180.56201,21109.48472,21038.41016,20967.33671,20896.26379,20825.19118,20754.11874,20825.19118,20896.26379,20967.33671,21038.41016,21109.48472,21180.56202,21109.48471,21038.41016,20967.33671,20896.26379,20825.19118,20754.11874,20825.19118,20896.26379,20967.33671,21038.41016,21109.48472,21180.56201,21109.48472,21038.41016,20967.33671,20896.26379,20825.19118,20754.11874,20825.19118,20896.26379,20967.33671,21038.41016,21109.48472,21180.56201,21109.48471,21038.41016,20967.33671
7,7,6,,,14147.01188,14099.09675,14051.14153,14003.1864,14051.14153,14099.09675,14147.05211,14195.00774,14242.96389,14290.92138,14242.96389,14195.00774,14147.05211,14099.09675,14051.14154,14003.1864,14051.14154,14099.09675,14147.05211,14195.00774,14242.96389,14290.92138,14242.96389,14195.00774,14147.05211,14099.09675,14051.14153,14003.1864,14051.14154,14099.09675,14147.05211,14195.00774,14242.96389,14290.92138,14242.96389,14195.00774,14147.05211,14099.09675,14051.14154,14003.1864,14051.14154,14099.09675,14147.05211,14195.00774,14242.96389,14290.92138,14242.96389,14195.00774,14147.05211
9,6,8,,,8613.150899,8583.958126,8554.762457,8525.566966,8554.762457,8583.958124,8613.154063,8642.35049,8671.547918,8700.747866,8671.547919,8642.35049,8613.154062,8583.958124,8554.762457,8525.566966,8554.762457,8583.958124,8613.154062,8642.350488,8671.547919,8700.747867,8671.547919,8642.35049,8613.154062,8583.958124,8554.762457,8525.566966,8554.762457,8583.958124,8613.154062,8642.35049,8671.547919,8700.747866,8671.547919,8642.35049,8613.154062,8583.958126,8554.762457,8525.566963,8554.762457,8583.958124,8613.154063,8642.35049,8671.547918,8700.747868,8671.547919,8642.35049,8613.154062
10,8,9,,,10977.2412,10940.12624,10902.91558,10865.70501,10902.91558,10940.12624,10977.33707,11014.54817,11051.75983,11088.97292,11051.75984,11014.54818,10977.33707,10940.12624,10902.91558,10865.70501,10902.91558,10940.12624,10977.33707,11014.54818,11051.75984,11088.97292,11051.75983,11014.54817,10977.33707,10940.12624,10902.91558,10865.70501,10902.91558,10940.12624,10977.33707,11014.54818,11051.75984,11088.97292,11051.75983,11014.54818,10977.33707,10940.12624,10902.91558,10865.70501,10902.91558,10940.12624,10977.33707,11014.54818,11051.75984,11088.97292,11051.75984,11014.54818,10977.33707
11,7,10,,,4245.749298,4231.398151,4217.006535,4202.615002,4217.006535,4231.398151,4245.789918,4260.181942,4274.574495,4288.968385,4274.574494,4260.181942,4245.789916,4231.398151,4217.006535,4202.615002,4217.006535,4231.398151,4245.789917,4260.181941,4274.574495,4288.968385,4274.574495,4260.181943,4245.789917,4231.398151,4217.006534,4202.615002,4217.006534,4231.398151,4245.789917,4260.181942,4274.574496,4288.968385,4274.574496,4260.181942,4245.789918,4231.398151,4217.006535,4202.615002,4217.006535,4231.398151,4245.789918,4260.181942,4274.574496,4288.968385,4274.574496,4260.181943,4245.789917
12,9,10,,,3781.602909,3768.663608,3755.844554,3743.025462,3755.844554,3768.663608,3781.482601,3794.301495,3807.120173,3819.938315,3807.120173,3794.301495,3781.482602,3768.663608,3755.844554,3743.025462,3755.844554,3768.663608,3781.482602,3794.301492,3807.120172,3819.938316,3807.120173,3794.301494,3781.482601,3768.663608,3755.844554,3743.025462,3755.844554,3768.663608,3781.482602,3794.301494,3807.120172,3819.938316,3807.120172,3794.301495,3781.482602,3768.663608,3755.844554,3743.025462,3755.844554,3768.663608,3781.482602,3794.301493,3807.120172,3819.938315,3807.120172,3794.301493,3781.482602
13,10,12,,,5313.116316,5295.026665,5277.016791,5259.006975,5277.016791,5295.026665,5313.036625,5331.04674,5349.057171,5367.068405,5349.057169,5331.04674,5313.036625,5295.026665,5277.016791,5259.006975,5277.016791,5295.026665,5313.036626,5331.04674,5349.057171,5367.068406,5349.05717,5331.04674,5313.036625,5295.026667,5277.016791,5259.006975,5277.016791,5295.026665,5313.036626,5331.04674,5349.057171,5367.068405,5349.057171,5331.04674,5313.036626,5295.026667,5277.016791,5259.006975,5277.016791,5295.026665,5313.036625,5331.04674,5349.057171,5367.068405,5349.05717,5331.04674,5313.036626
14,9,11,,,6477.063088,6455.014349,6433.058985,6411.103669,6433.058985,6455.014349,6476.969801,6498.925397,6520.88129,6542.837944,6520.881292,6498.925397,6476.969801,6455.014349,6433.058985,6411.103669,6433.058985,6455.014349,6476.969798,6498.925395,6520.881291,6542.837945,6520.881292,6498.925396,6476.969799,6455.014349,6433.058985,6411.103669,6433.058985,6455.014349,6476.969801,6498.925395,6520.881292,6542.837944,6520.881291,6498.925397,6476.969801,6455.014349,6433.058985,6411.103669,6433.058985,6455.014349,6476.969801,6498.925397,6520.881291,6542.837945,6520.88129,6498.925397,6476.969801
15,12,11,,,2885.032168,2875.263091,2865.48308,2855.703043,2865.48308,2875.263091,2885.043058,2894.822947,2904.602672,2914.381984,2904.602672,2894.822947,2885.043058,2875.263091,2865.483079,2855.703043,2865.48308,2875.263091,2885.043058,2894.822946,2904.602672,2914.381984,2904.602672,2894.822947,2885.043058,2875.263091,2865.483079,2855.703043,2865.48308,2875.263091,2885.043058,2894.822946,2904.602671,2914.381984,2904.602672,2894.822946,2885.043058,2875.263091,2865.48308,2855.703043,2865.48308,2875.263091,2885.043058,2894.822946,2904.602672,2914.381984,2904.602672,2894.822946,2885.043058
16,11,14,,,5432.59478,5414.189746,5395.77437,5377.359007,5395.77437,5414.189745,5432.605148,5451.0206,5469.436141,5487.851915,5469.436142,5451.0206,5432.605149,5414.189746,5395.77437,5377.359007,5395.77437,5414.189745,5432.605148,5451.0206,5469.436142,5487.851917,5469.436143,5451.0206,5432.605147,5414.189745,5395.77437,5377.359007,5395.77437,5414.189745,5432.605149,5451.0206,5469.436142,5487.851917,5469.436141,5451.0206,5432.605147,5414.189745,5395.77437,5377.359007,5395.77437,5414.189745,5432.60515,5451.0206,5469.436141,5487.851917,5469.436142,5451.0206,5432.60515
17,80,13,,,14720.20727,14670.30272,14620.39122,14570.47942,14620.39122,14670.30272,14720.21368,14770.12363,14820.0315,14869.93396,14820.0315,14770.12363,14720.21368,14670.30272,14620.39122,14570.47943,14620.39122,14670.30272,14720.21368,14770.12363,14820.0315,14869.93396,14820.0315,14770.12363,14720.21368,14670.30272,14620.39122,14570.47942,14620.39122,14670.30272,14720.21368,14770.12363,14820.0315,14869.93396,14820.0315,14770.12363,14720.21368,14670.30272,14620.39122,14570.47942,14620.39122,14670.30272,14720.21368,14770.12363,14820.0315,14869.93395,14820.0315,14770.12363,14720.21368
