Source,Target,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
9,10,8.391127,8.362677,8.334233,8.305783,8.334233,8.362677,8.391127,8.419577,8.448027,8.476475,8.448027,8.419577,8.391127,8.362677,8.334233,8.305783,8.334233,8.362677,8.391127,8.419577,8.448027,8.476475,8.448027,8.419577,8.391127,8.362677,8.334233,8.305783,8.334233,8.362677,8.391127,8.419577,8.448027,8.476475,8.448027,8.419577,8.391127,8.362677,8.334233,8.305783,8.334233,8.362677,8.391127,8.419577,8.448027,8.476475,8.448027,8.419577,8.391127
10,12,-1.1424578,-1.1385936,-1.1347224,-1.130849,-1.1347224,-1.1385936,-1.142467,-1.1463389,-1.1502126,-1.1540848,-1.1502126,-1.1463389,-1.142467,-1.1385936,-1.1347224,-1.130849,-1.1347224,-1.1385936,-1.142467,-1.1463389,-1.1502126,-1.1540848,-1.1502126,-1.1463389,-1.142467,-1.1385936,-1.1347224,-1.130849,-1.1347224,-1.1385936,-1.142467,-1.1463389,-1.1502126,-1.1540848,-1.1502126,-1.1463389,-1.142467,-1.1385936,-1.1347224,-1.130849,-1.1347224,-1.1385936,-1.142467,-1.1463389,-1.1502126,-1.1540848,-1.1502126,-1.1463389,-1.142467
9,11,-0.16871926,-0.16814725,-0.16757536,-0.1670039,-0.16757536,-0.16814725,-0.16871879,-0.1692907,-0.16986273,-0.17043513,-0.16986273,-0.1692907,-0.16871879,-0.16814725,-0.16757536,-0.1670039,-0.16757536,-0.16814725,-0.16871879,-0.1692907,-0.16986273,-0.17043513,-0.16986273,-0.1692907,-0.16871879,-0.16814725,-0.16757536,-0.1670039,-0.16757536,-0.16814725,-0.16871879,-0.1692907,-0.16986273,-0.17043513,-0.16986273,-0.1692907,-0.16871879,-0.16814725,-0.16757536,-0.1670039,-0.16757536,-0.16814725,-0.16871879,-0.1692907,-0.16986273,-0.17043513,-0.16986273,-0.1692907,-0.16871879
12,11,-0.75366884,-0.75111216,-0.74855787,-0.74600464,-0.74855787,-0.75111216,-0.7536677,-0.75622207,-0.7587765,-0.7613325,-0.7587765,-0.75622207,-0.7536677,-0.75111216,-0.74855787,-0.74600464,-0.74855787,-0.75111216,-0.7536677,-0.75622207,-0.7587765,-0.7613325,-0.7587765,-0.75622207,-0.7536677,-0.75111216,-0.74855787,-0.74600464,-0.74855787,-0.75111216,-0.7536677,-0.75622207,-0.7587765,-0.7613325,-0.7587765,-0.75622207,-0.7536677,-0.75111216,-0.74855787,-0.74600464,-0.74855787,-0.75111216,-0.7536677,-0.75622207,-0.7587765,-0.7613325,-0.7587765,-0.75622207,-0.7536677
11,14,-1.4352574,-1.4303935,-1.4255279,-1.4206641,-1.4255279,-1.4303935,-1.4352573,-1.4401212,-1.4449868,-1.449855,-1.4449868,-1.4401212,-1.4352573,-1.4303935,-1.4255279,-1.4206641,-1.4255279,-1.4303935,-1.4352573,-1.4401212,-1.4449868,-1.449855,-1.4449868,-1.4401212,-1.4352573,-1.4303935,-1.4255279,-1.4206641,-1.4255279,-1.4303935,-1.4352573,-1.4401212,-1.4449868,-1.449855,-1.4449868,-1.4401212,-1.4352573,-1.4303935,-1.4255279,-1.4206641,-1.4255279,-1.4303935,-1.4352573,-1.4401212,-1.4449868,-1.449855,-1.4449868,-1.4401212,-1.4352573
80,13,-6.1969433,-6.1759324,-6.154938,-6.133927,-6.154938,-6.1759324,-6.1969433,-6.2179484,-6.23896,-6.259973,-6.23896,-6.2179484,-6.1969433,-6.1759324,-6.154938,-6.133927,-6.154938,-6.1759324,-6.1969433,-6.2179484,-6.23896,-6.259973,-6.23896,-6.2179484,-6.1969433,-6.1759324,-6.154938,-6.133927,-6.154938,-6.1759324,-6.1969433,-6.2179484,-6.23896,-6.259973,-6.23896,-6.2179484,-6.1969433,-6.1759324,-6.154938,-6.133927,-6.154938,-6.1759324,-6.1969433,-6.2179484,-6.23896,-6.259973,-6.23896,-6.2179484,-6.1969433
14,15,2.1306138,2.1233926,2.1161702,2.1089478,2.1161702,2.1233926,2.1306138,2.1378365,2.1450639,2.1522863,2.1450639,2.1378365,2.1306138,2.1233926,2.1161702,2.1089478,2.1161702,2.1233926,2.1306138,2.1378365,2.1450639,2.1522863,2.1450639,2.1378365,2.1306138,2.1233926,2.1161702,2.1089478,2.1161702,2.1233926,2.1306138,2.1378365,2.1450639,2.1522863,2.1450639,2.1378365,2.1306138,2.1233926,2.1161702,2.1089478,2.1161702,2.1233926,2.1306138,2.1378365,2.1450639,2.1522863,2.1450639,2.1378365,2.1306138
12,15,2.807982,2.798464,2.7889383,2.7794237,2.7889383,2.798464,2.8079832,2.8174965,2.8270226,2.8365414,2.8270226,2.8174965,2.8079832,2.798464,2.7889383,2.7794237,2.7889383,2.798464,2.8079832,2.8174965,2.8270226,2.8365414,2.8270226,2.8174965,2.8079832,2.798464,2.7889383,2.7794237,2.7889383,2.798464,2.8079832,2.8174965,2.8270226,2.8365414,2.8270226,2.8174965,2.8079832,2.798464,2.7889383,2.7794237,2.7889383,2.798464,2.8079832,2.8174965,2.8270226,2.8365414,2.8270226,2.8174965,2.8079832
16,17,-0.5544207,-0.54936445,-0.5474816,-0.5456144,-0.5474816,-0.54935044,-0.55121905,-0.55308765,-0.5549569,-0.5568251,-0.5549569,-0.55308765,-0.55121905,-0.54935044,-0.5474816,-0.5456144,-0.5474816,-0.54935044,-0.55121905,-0.55308765,-0.5549569,-0.5568251,-0.5549569,-0.55308765,-0.55121905,-0.54935044,-0.5474816,-0.5456144,-0.5474816,-0.54935044,-0.55121905,-0.55308765,-0.5549569,-0.5568251,-0.5549569,-0.55308765,-0.55121905,-0.54935044,-0.5474816,-0.5456144,-0.5474816,-0.54935044,-0.55121905,-0.55308765,-0.5549569,-0.5568251,-0.5549569,-0.55308765,-0.55121905
18,17,-8.115421,-8.087899,-8.060403,-8.032875,-8.060403,-8.087899,-8.115421,-8.142943,-8.170438,-8.197964,-8.170438,-8.142943,-8.115421,-8.087899,-8.060403,-8.032875,-8.060403,-8.087899,-8.115421,-8.142943,-8.170438,-8.197964,-8.170438,-8.142943,-8.115421,-8.087899,-8.060403,-8.032875,-8.060403,-8.087899,-8.115421,-8.142943,-8.170438,-8.197964,-8.170438,-8.142943,-8.115421,-8.087899,-8.060403,-8.032875,-8.060403,-8.087899,-8.115421,-8.142943,-8.170438,-8.197964,-8.170438,-8.142943,-8.115421
