Id,latitude,longitude,Weight
179001,29.682581,123.32214,27367.17
179,30.817419,122.942901,27292.973
177,31.494895,120.961509,27198.71
174,32.097496,123.410455,26398.75
173,32.001423,122.53509,26330.265
171001,33.062741,122.549116,25163.636
171,33.282401,123.111221,24874.55
172,33.282401,123.645272,24783.044
170,33.929205,122.478983,22367.886
165,34.596758,122.459761,20999.956
166,34.64953,123.252006,20362.283
168,34.832656,124.011003,19906.649
169,35.015331,124.699867,19803.236
163,35.1741,122.45093,19191.517
164,35.137565,121.734013,19041.441
162,35.731597,122.444696,16533.558
161,36.260226,122.45093,15293.66
106,37.25118,122.642627,13256.632
124,37.107747,124.624019,14696.121
125,37.017086,125.444837,15209.138
125001,36.906579,126.214224,14392.143
126,36.964313,127.079199,14332.658
127,35.703181,124.987153,22956.17
128,34.88137,126.498912,23877.612
129,34.759135,127.145176,24103.047
130,35.003153,127.862093,23942.898
132,33.438013,126.506185,28041.23
131001,32.672583,125.753942,27302.617
131,32.830902,126.526966,28163.865
133,33.026206,127.187776,27733.37
134,33.160618,128.058986,26650.703
135,30.256315,125.135212,29847.95
136,30.256315,125.922781,30850.986
137,31.061437,127.538961,28714.79
138,30.317206,127.87612,28622.526
139,29.829171,125.767969,30682.608
141,28.317707,124.955463,32492.253
143,28.513011,126.318644,33430.72
144,29.074567,126.852695,33606.225
145,28.793563,127.513505,33693.698
142,28.024976,127.063614,30016.184
140001,28.317707,124.308679,35056.102
151,28.305528,122.790686,38471.36
152,28.281172,122.200528,41835.958
107,37.882198,124.59129,25520.61
108,38.743701,125.687965,38082.24
109,38.726561,126.347217,40576.655
110,38.611093,127.079199,44719.43
111,39.015232,127.64494,44423.267
113,37.773044,127.811182,45734.72
114,37.397771,128.376923,45084.15
112,38.228152,127.531688,45601.58
115,41.132005,127.178944,37975.278
116,41.132005,127.630394,38185.343
117,40.929033,128.259514,38776.574
118,39.980928,129.252288,37052.59
119,40.698998,128.954612,38144.958
105,37.366198,121.619202,18664.522
102,37.193897,120.694484,24282.809
103,37.904299,120.830074,23726.603
104,38.118998,121.459714,23313.934
100,37.017086,119.744829,33445.43
101,38.470365,119.525598,33265.14
96,37.050464,118.613866,45809.498
97,35.703181,118.713092,46710.435
98,35.052317,119.070511,46301.93
99,34.368527,119.463776,45685.333
93,37.022047,117.590442,47909.495
94,38.294456,117.074573,47563.836
95,39.349008,117.546803,46568.555
92,36.792464,116.797677,49688.002
160,35.461869,116.630916,59235.54
159001,34.104212,117.163409,60189.57
159,32.925171,117.67616,60588.87
156,32.00458,118.250732,60294.45
157,32.636048,119.702749,59694.28
158,33.001849,120.489799,59067.97
155,31.097972,118.690753,59093.27
154,31.220206,119.758855,58534.944
153,28.999242,119.927694,51786.6
55,26.900962,120.694484,86550.2
59,23.546512,122.411447,92261.195
60,23.632211,120.892415,89983.815
61,24.94747,119.027912,88969.11
62,23.603795,119.010249,88954.54
147,25.459861,125.999668,39136.654
150,23.001645,127.232973,42656.317
148,24.406662,126.440208,44510.838
149,23.946592,128.248605,43806.848
63,20.524485,124.176206,90620.48
64,20.517719,122.035845,89501.315
65,20.688215,120.827477,89155.644
66,21.372005,119.393643,87941.897
67,20.078397,125.774722,85745.174
68,19.492485,126.505666,83578.76
69,18.491607,126.843344,83466.21
70,19.663432,127.433502,79791.4
71,20.029233,128.839282,75114.75
72,19.314772,130.127135,74931.75
56,26.326326,119.309484,85515.62
57,26.277613,118.184755,83106.405
58,26.326326,116.975867,82387.86
53,27.986186,117.706811,82993.16
54,28.034899,115.879712,81696.86
52,28.863476,119.160386,83499.074
46001,30.855308,118.035657,76304.495
50,29.816993,117.341599,75726.306
51,29.450741,115.401767,74162.98
47,31.281098,116.638709,74820.93
48,31.232384,115.823605,72662.69
49,31.03708,114.248986,71429.51
42,33.659478,115.418911,66217.005
45,33.343293,114.028716,65582.26
46,33.014027,113.012045,64795.73
41,34.057754,116.281809,65516.28
35,36.478985,115.157081,60323.536
36,36.052743,114.094693,62141.836
39,35.528174,113.925854,61711.35
40,34.917905,113.785068,61564.93
37,35.906604,112.506047,61988.11
91,36.677897,116.104138,52424.84
90,40.606082,114.71706,40692.103
89,41.122082,116.566498,38554.466
31,38.398198,114.287949,54980.236
32,37.967897,112.934119,55749.774
34,38.312047,111.216636,55026.39
33,37.377023,111.519507,55264.276
28001,40.376498,113.59441,46896.827
28,39.573631,113.825589,50103.295
29,39.401781,112.47176,50516.343
30,39.888914,111.051433,50328.755
27,41.457662,112.89152,69057.685
26,42.043574,111.451971,87095.17
23,42.531609,111.451971,88983.107
22,42.342169,107.488149,97990.024
87,42.106721,117.562388,34303.69
86,42.771116,118.660622,32303.02
83,43.580298,118.860112,30976.534
77,44.158091,119.725607,27111.477
81,43.204574,120.324596,30504.316
78,42.540179,120.657079,30029.297
79,41.471193,120.790073,28122.03
80,40.662012,120.457589,27670.503
82,45.795399,124.426088,7419.533
84,43.547371,117.569142,30445.465
85,43.390857,116.332201,30298.15
121,43.440924,127.128552,28032.243
122,44.31235,126.977896,21454.419
123,45.140476,126.37579,13690.072
120,42.297515,127.629355,32805.747
75,47.085849,120.264853,21484.326
76,44.218532,120.727212,26791.057
73,46.626682,119.175451,20934.41
74,46.110682,118.019553,20818.198
227,48.800286,121.207235,12914.236
215001,48.887339,122.110135,8210.033
215,48.98251,124.15075,19046.235
219,47.487734,122.746528,53648.74
220,47.493147,122.160527,53744.8
221,46.752524,122.160527,58975.345
222,45.837346,121.608293,58705.11
223,45.140476,121.608293,58093.37
223001,46.055203,122.813025,60288.215
224,45.445385,122.963681,60651.09
225,44.797228,122.931472,59805.816
226,43.882049,122.379238,59601.897
214,48.98251,124.816755,18690.614
216,48.346982,124.816755,17747.115
217,47.740321,124.816755,17695.889
218,48.116045,125.548738,17590.636
201,50.080363,124.683243,13196.918
203,49.56752,124.861952,13975.489
204,49.405143,125.979927,15662.158
205,49.405143,126.666193,18158.855
211,48.809307,126.801264,15065.105
212,48.008695,126.835032,14818.956
206,49.390258,127.620004,21575.294
207,49.415968,128.543164,22752.552
208,49.812891,129.874655,24087.575
209,49.046559,129.980634,23195.167
210,48.310898,129.980634,22922.456
213,50.854814,130.686641,24307.016
200001,50.629289,124.683243,12558.411
199,51.264817,124.683243,12588.29
196,51.253541,125.391328,13088.797
197,51.253541,126.203314,13429.226
198,50.885485,126.979974,13344.128
233,52.080764,128.109897,23678.328
232,52.080764,129.203974,23775.324
231,52.69374,129.239301,24190.11
230,52.69374,129.945308,24236.47
234,52.733883,130.700149,24545.427
194,53.245824,125.426654,12163.553
195,52.824995,125.847973,11986.0165
192,53.28732,124.683243,12003.179
193,53.28732,123.918012,11908.919
234001,54.253467,130.700149,23758.274
235,55.4289,130.700149,25635.332
236,54.618365,129.489702,19457.558
237,54.61611,128.909415,19339.296
238,54.240837,128.909415,19118.41
240,53.507883,128.917208,19078.143
239,54.282334,126.935816,16933.335
190001,55.237655,124.685321,10309.746
187,56.407676,126.214224,9022.823
188,54.934099,126.214224,10119.474
189,54.934099,126.946206,12142.274
186,56.407676,126.979454,8903.419
185,56.407676,127.877678,8832.04
235001,56.320624,130.706383,25884.828
241,57.043204,130.340132,25693.476
242,57.043204,129.175402,25537.93
243,57.967403,130.340132,24294.01
244,58.955651,130.304286,22974.065
245,59.989906,130.340132,19584.69
183,61.030476,125.426654,6873.802
184,60.203252,125.07391,6796.008
182,61.087759,126.214224,7197.465
249,62.052101,126.803862,6586.016
248,62.041276,128.709925,7564.2265
247,62.052101,130.304286,12181.376
246,61.030025,130.340132,15219.478
181,64.231118,126.110323,5290.7575
266,53.882254,122.653537,1067.6079
180004,57.371567,123.955936,4922.6094
190,56.407676,124.816755,9715.169
191,56.407676,124.251014,9651.111
180003,61.960087,124.023471,6254.526
180002,63.444038,124.855718,6155.5825
180001,64.202702,126.83659,5409.7258
180,64.439052,127.811182,4325.487
287,49.65773,120.528762,275.0936
286,50.079461,121.095541,351.0519
285,50.009097,121.689336,869.5289
284,50.218384,122.118447,1318.5045
200,51.264817,124.051005,12443.691
274,52.475883,120.033673,30061.966
275,52.520988,121.383347,29779.175
276,52.811013,121.840512,29653.8
265,53.87639,121.752196,32972.997
