Id,Source,Target,Weight,Unnamed: 4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,2,1,0.01686556,,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556,0.01686556
2,2,3,0.026578505,,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734,0.026578734
3,4,3,0.007400606,,0.007406621,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665,0.007406665
4,1,4,0.01056827,,0.010563442,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397,0.010563397
5,4,5,0.023491126,,0.023489937,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939,0.023489939
6,5,6,0.065238,,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238,0.065238
7,7,6,0.45364875,,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875,0.45364875
9,6,8,0.016407082,,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082,-0.016407082
10,8,9,0.020611988,,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988,-0.020611988
11,7,10,0.037743587,,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587,-0.037743587
12,9,10,0.075528644,,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644,-0.075528644
