Id,latitude,longitude,Weight,,# Result
29,39.401781,112.47176,1526.7742,,1.5267742
30,39.888914,111.051433,1521.0109,,1.5210109
27,41.457662,112.89152,2022.953,,2.022953
26,42.043574,111.451971,2511.3559,,2.5113559
23,42.531609,111.451971,2561.6517,,2.5616517
22,42.342169,107.488149,2768.1625,,2.7681625
87,42.106721,117.562388,1039.1912,,1.0391912
86,42.771116,118.660622,979.3804,,0.9793804
83,43.580298,118.860112,939.69333,,0.93969333
77,44.158091,119.725607,823.80736,,0.82380736
81,43.204574,120.324596,928.0395,,0.9280395
78,42.540179,120.657079,913.44625,,0.91344625
79,41.471193,120.790073,854.85256,,0.85485256
80,40.662012,120.457589,840.98136,,0.84098136
82,45.795399,124.426088,244.30676,,0.24430676
84,43.547371,117.569142,923.3789,,0.9233789
85,43.390857,116.332201,918.8526,,0.9188526
121,43.440924,127.128552,1000,,1
122,44.31235,126.977896,741.60475,,0.74160475
123,45.140476,126.37579,463.81378,,0.46381378
120,42.297515,127.629355,1129.9605,,1.1299605
75,47.085849,120.264853,654.5213,,0.6545213
76,44.218532,120.727212,813.96353,,0.81396353
73,46.626682,119.175451,637.62695,,0.63762695
74,46.110682,118.019553,634.05657,,0.63405657
227,48.800286,121.207235,394.5398,,0.3945398
215001,48.887339,122.110135,251.49295,,0.25149295
215,48.98251,124.15075,585.1242,,0.5851242
219,47.487734,122.746528,1647.4268,,1.6474268
220,47.493147,122.160527,1650.3786,,1.6503786
221,46.752524,122.160527,1811.0675,,1.8110675
222,45.837346,121.608293,1802.7653,,1.8027653
223,45.140476,121.608293,1783.9721,,1.7839721
223001,46.055203,122.813025,1851.4005,,1.8514005
224,45.445385,122.963681,1862.5484,,1.8625484
225,44.797228,122.931472,1836.5803,,1.8365803
226,43.882049,122.379238,1830.3158,,1.8303158
214,48.98251,124.816755,574.19866,,0.57419866
216,48.346982,124.816755,545.2136,,0.5452136
217,47.740321,124.816755,543.6394,,0.5436394
218,48.116045,125.548738,540.40575,,0.54040575
201,50.080363,124.683243,405.42588,,0.40542588
203,49.56752,124.861952,429.34453,,0.42934453
204,49.405143,125.979927,481.1607,,0.4811607
205,49.405143,126.666193,557.8622,,0.5578622
211,48.809307,126.801264,462.8189,,0.4628189
212,48.008695,126.835032,455.25625,,0.45525625
206,49.390258,127.620004,662.81956,,0.66281956
207,49.415968,128.543164,698.98635,,0.69898635
208,49.812891,129.874655,740.00007,,0.74000007
209,49.046559,129.980634,712.58414,,0.71258414
210,48.310898,129.980634,704.2065,,0.7042065
213,50.854814,130.686641,746.74195,,0.74674195
200001,50.629289,124.683243,385.8101,,0.3858101
199,51.264817,124.683243,386.72748,,0.38672748
196,51.253541,125.391328,402.10426,,0.40210426
197,51.253541,126.203314,412.56267,,0.41256267
198,50.885485,126.979974,409.94832,,0.40994832
233,52.080764,128.109897,727.4279,,0.7274279
232,52.080764,129.203974,730.4077,,0.7304077
231,52.69374,129.239301,743.1505,,0.7431505
230,52.69374,129.945308,744.5747,,0.7445747
234,52.733883,130.700149,754.06665,,0.75406665
194,53.245824,125.426654,373.67958,,0.37367958
195,52.824995,125.847973,368.22546,,0.36822546
192,53.28732,124.683243,368.7527,,0.3687527
193,53.28732,123.918012,365.85692,,0.36585692
234001,54.253467,130.700149,729.8839,,0.7298839
235,55.4289,130.700149,787.54985,,0.78754985
236,54.618365,129.489702,597.76056,,0.59776056
237,54.61611,128.909415,594.1274,,0.5941274
238,54.240837,128.909415,587.3415,,0.5873415
240,53.507883,128.917208,586.10445,,0.58610445
239,54.282334,126.935816,520.21325,,0.52021325
190001,55.237655,124.685321,316.7283,,0.3167283
187,56.407676,126.214224,277.1924,,0.2771924
188,54.934099,126.214224,310.88293,,0.31088293
189,54.934099,126.946206,373.02586,,0.37302586
186,56.407676,126.979454,273.5242,,0.2735242
185,56.407676,127.877678,271.3313,,0.2713313
235001,56.320624,130.706383,795.2143,,0.7952143
241,57.043204,130.340132,789.33626,,0.78933626
242,57.043204,129.175402,784.55764,,0.78455764
243,57.967403,130.340132,746.3429,,0.7463429
244,58.955651,130.304286,705.79267,,0.70579267
245,59.989906,130.340132,601.6662,,0.6016662
183,61.030476,125.426654,211.1718,,0.2111718
184,60.203252,125.07391,208.7819,,0.2087819
182,61.087759,126.214224,221.11513,,0.22111513
249,62.052101,126.803862,202.33065,,0.20233065
248,62.041276,128.709925,232.38252,,0.23238252
247,62.052101,130.304286,374.2271,,0.3742271
246,61.030025,130.340132,467.56193,,0.46756193
181,64.231118,126.110323,162.5387,,0.1625387
266,53.882254,122.653537,32.797642,,0.032797642
180004,57.371567,123.955936,151.22569,,0.15122569
190,56.407676,124.816755,298.46215,,0.29846215
191,56.407676,124.251014,296.49422,,0.29649422
180003,61.960087,124.023471,192.14231,,0.19214231
180002,63.444038,124.855718,189.10274,,0.18910274
180001,64.202702,126.83659,166.19356,,0.16619356
180,64.439052,127.811182,132.88438,,0.13288438
287,49.65773,120.528762,9.047129,,0.009047129
286,50.079461,121.095541,11.380661,,0.011380661
285,50.009097,121.689336,27.308922,,0.027308922
284,50.218384,122.118447,41.102014,,0.041102014
200,51.264817,124.051005,382.28577,,0.38228577
274,52.475883,120.033673,921.44233,,0.92144233
275,52.520988,121.383347,912.75406,,0.91275406
276,52.811013,121.840512,908.9029,,0.9089029
265,53.87639,121.752196,1011.1008,,1.0111008
268,53.87639,119.863276,1017.4826,,1.0174826
269,54.00133,119.212856,1044.5628,,1.0445628
271,54.225051,117.920327,1078.2808,,1.0782808
270,54.930942,118.266318,1075.2728,,1.0752728
318,44.542836,111.47431,1424.7249,,1.4247249
317,44.894654,112.036934,1428.0419,,1.4280419
316,45.92936,112.059273,1419.8151,,1.4198151
315,45.909965,112.959055,1405.1108,,1.4051108
313,46.222091,113.813641,1338.1944,,1.3381944
314,44.972686,113.790783,1333.4149,,1.3334149
312,46.456636,114.668226,1155.8391,,1.1558391
310,46.749367,115.56749,982.8413,,0.9828413
311,46.551357,116.521301,979.60824,,0.97960824
309,47.514797,116.151413,854.57265,,0.85457265
297,48.174681,116.399736,763.4874,,0.7634874
298,48.936503,116.084916,768.6007,,0.7686007
299,49.502569,114.960188,763.48376,,0.76348376
296,48.018618,117.141589,653.2526,,0.6532526
294,47.862556,117.996695,458.3865,,0.4583865
293,47.830982,118.977,406.6263,,0.4066263
291,48.80615,119.373383,488.1981,,0.4881981
295,48.389381,117.816426,649.54126,,0.64954126
288,49.866566,119.703788,680.5396,,0.6805396
289,49.893177,118.760886,660.1706,,0.6601706
290,49.873782,118.176443,649.8796,,0.6498796
282,50.78445,120.298101,802.33365,,0.80233365
277,51.701883,119.86899,871.3246,,0.8713246
278,52.509712,118.918296,774.0905,,0.7740905
279,52.529107,117.794088,717.03094,,0.71703094
280,52.236376,116.826769,695.60057,,0.69560057
281,51.689254,116.804431,693.2947,,0.6932947
272,55.314334,116.995609,1072.0962,,1.0720962
273,53.565166,117.590442,1069.8473,,1.0698473
264,56.003085,120.391093,919.5173,,0.9195173
257001,56.523145,120.557334,850.9511,,0.8509511
258001,57.349917,120.79319,797.2648,,0.7972648
259001,56.754082,122.187541,788.2685,,0.7882685
260001,55.085201,120.166147,950.4263,,0.9504263
261,57.124393,118.764523,879.26877,,0.87926877
262,56.046837,118.020072,881.4613,,0.8814613
263,56.693641,117.026779,868.0376,,0.8680376
255,62.654252,122.34547,562.68626,,0.56268626
258,60.790518,122.444696,538.0991,,0.5380991
259,59.242518,122.411447,529.79726,,0.52979726
260,57.923651,122.34547,527.52024,,0.52752024
256,63.084101,122.741853,557.76346,,0.55776346
257,63.628968,123.336166,551.80323,,0.55180323
254,62.683119,121.156843,478.62342,,0.47862342
250004,64.467919,122.520544,79.443954,,0.079443954
421,65.206286,125.176253,153.55414,,0.15355414
420,66.524251,125.37834,115.599915,,0.115599915
419,67.344258,125.513411,84.18606,,0.08418606
418,68.516082,125.749786,-3.350815,,-0.003350815
416,69.424044,125.918106,-35.7786,,-0.0357786
417,70.245855,126.946206,-46.852585,,-0.046852585
415,68.838131,123.793331,21.941798,,0.021941798
414,67.819663,123.5315,44.421695,,0.044421695
413,66.573415,122.966279,53.382926,,0.053382926
250001,68.310855,122.274818,72.04429,,0.07204429
21,43.227127,106.024703,2798.3465,,2.7983465
319,47.271682,111.883161,1437.9556,,1.4379556
320,47.711454,112.371495,1431.8738,,1.4318738
20,44.281679,107.036699,2773.8853,,2.7738853
19,44.906832,103.25834,2803.6637,,2.8036637
18,46.598266,101.045768,2802.9404,,2.8029404
302,48.433583,114.933694,567.1786,,0.5671786
303,48.751573,114.168463,515.33383,,0.51533383
305,49.024006,112.880091,456.4008,,0.4564008
306,49.90716,113.669219,441.92055,,0.44192055
307,50.138097,113.169974,440.6273,,0.4406273
321,48.029444,112.737746,1423.0461,,1.4230461
11,46.167965,100.220275,2795.507,,2.795507
322,48.248202,110.569333,1433.9199,,1.4339199
323,48.218884,109.253427,1440.87,,1.44087
301,51.496205,111.739258,317.45282,,0.31745282
300,51.871478,110.574528,311.01558,,0.31101558
