Source,Target,Diff1,Diff2,Diff3,Diff4,Diff5,Diff6,Diff7,Diff8,Diff9,Diff10,Diff11,Diff12,Diff13,Diff14,Diff15,Diff16,Diff17,Diff18,Diff19,Diff20,Diff21,Diff22,Diff23,Diff24,Diff25,Diff26,Diff27,Diff28,Diff29,Diff30,Diff31,Diff32,Diff33,Diff34,Diff35,Diff36,Diff37,Diff38,Diff39,Diff40,Diff41,Diff42,Diff43,Diff44,Diff45,Diff46,Diff47,Diff48,Diff49,Diff50,Diff51,Diff52,Diff53,Diff54,Diff55,Diff56,Diff57,Diff58,Diff59,Diff60,Diff61,Diff62,Diff63,Diff64,Diff65,Diff66,Diff67,Diff68,Diff69,Diff70,Diff71,Diff72,Diff73,Diff74,Diff75,Diff76,Diff77,Diff78,Diff79,Diff80,Diff81,Diff82,Diff83,Diff84,Diff85,Diff86,Diff87,Diff88,Diff89,Diff90,Diff91,Diff92,Diff93,Diff94,Diff95,Diff96,Diff97,Diff98,Diff99,Diff100,Diff101,Diff102,Diff103,Diff104,Diff105,Diff106,Diff107,Diff108,Diff109,Diff110,Diff111,Diff112,Diff113
9,10,0.023719,0.023719,0.023719,0.023719,0.043719,0.073719,0.343719,-0.056281,-0.236281,0.563719,0.003719,0.133719,0.003719,0.033719,0.053719,0.018289,0.017775,0.013328,0.023774,-0.036559,-0.053139,-0.107521,-0.050243,0.002645,0.008068,0.015888,0.01496,0.010793,0.005155,0.002468,0.003719,0.013719,0.013719,0.013719,-0.006281,-0.016281,-0.036281,-0.056281,-0.066281,-0.036281,-0.036281,-0.036281,-0.026281,-0.016281,-0.006281,-0.006281,-0.006281,-0.006281,-0.026281,-0.036281,-0.036281,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,0.003719,-0.000173,-0.000166,-1.90E-05,-0.000331,-0.000187,-0.000267,-0.000303,-0.000295,4.10E-05,-0.000293,-0.000293,-0.000293,0.01518,-0.000293,-0.000293,-0.000292,0.00409,-0.000292,0.003719,0.003719,-0.000292,-1.90E-05,-0.000292,-0.000292,-0.000292,-0.000292,-0.000292,-0.000293,-0.000291,-0.000291,-0.000287,-0.000292,-0.000291,-1.90E-05,-1.90E-05,-1.90E-05,-1.90E-05,-1.90E-05,-0.029922,-0.000195,-0.000293
10,12,-0.02386,-0.02386,-0.02386,-0.02386,-0.04386,-0.05386,-0.13386,-0.03386,-0.04386,-0.19386,0.18614,0.32614,-0.00386,0.20614,0.23614,0.19294,0.19236,0.18737,0.19584,0.10737,0.09163,0.0295,-0.00522,-0.0202,-0.01943,-0.01771,-0.01681,-0.01179,-0.00564,-0.00276,-0.00386,-0.01386,-0.01386,-0.01386,-0.00386,0.00614,0.02614,0.04614,0.03614,0.06614,0.05614,0.03614,0.02614,0.01614,0.00614,0.00614,0.00614,0.00614,0.04614,0.05614,0.06614,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,-0.00386,0.00067,0.00066,-1.00E-05,0.00033,0.00017,0.00026,0.0003,0.00029,0.00045,0.00029,0.00029,0.00029,-0.01909,0.00029,0.00029,0.00029,-0.01987,0.00029,-0.00386,-0.00386,0.00029,-1.00E-05,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00028,0.00029,0.00029,-1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0.03267,0.0007,0.00029
9,11,-0.03204,-0.03204,-0.02204,-0.03204,-0.04204,-0.05204,-0.05204,-0.07204,-0.15204,-0.06204,0.31796,0.21796,-0.00204,0.23796,0.23796,0.25157,0.25191,0.25512,0.23119,0.13204,0.11538,0.0132,-0.02399,-0.0269,-0.02404,-0.01913,-0.01808,-0.01262,-0.00605,-0.00297,-0.00204,-0.01204,-0.01204,-0.01204,-0.00204,0.00796,0.02796,0.07796,0.07796,0.07796,0.06796,0.03796,0.02796,0.01796,0.00796,-0.00204,0.00796,0.00796,0.04796,0.05796,0.06796,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,-0.00204,0.00074,0.00073,-2.00E-05,0.00033,0.00017,0.00026,0.0003,0.0003,0.0005,0.0003,0.0003,0.0003,-0.02107,0.0003,0.0003,0.0003,-0.026,0.0003,-0.00204,-0.00204,0.00029,-2.00E-05,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00028,0.00029,0.00029,-2.00E-05,-2.00E-05,-2.00E-05,-2.00E-05,-2.00E-05,0.03522,0.00077,0.00029
12,11,-0.014444,-0.014444,-0.014444,-0.014444,-0.024444,-0.034444,-0.074444,-0.014444,-0.014444,-0.114444,0.205556,-0.494444,-0.004444,-0.034444,-0.134444,-0.15347,-0.153039,-0.151033,-0.030326,0.044831,0.058202,0.025551,0.001566,-0.00857,-0.008742,-0.008918,-0.008235,-0.00588,-0.002837,-0.001397,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,0.005556,0.015556,0.055556,0.095556,0.025556,0.025556,0.015556,0.015556,0.005556,0.005556,0.005556,0.005556,0.005556,0.015556,0.025556,0.025556,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-0.004444,-3.00E-06,-7.00E-06,-1.60E-05,0.000147,7.10E-05,0.000115,0.000134,0.000132,-0.000115,0.000132,0.000132,0.000132,-0.009009,0.000132,0.000132,0.000132,-0.008617,0.000132,-0.004444,-0.004444,0.000132,-1.60E-05,0.000132,0.000132,0.000132,0.000132,0.000131,0.000131,0.000131,0.00013,0.000127,0.000131,0.00013,-1.60E-05,-1.60E-05,-1.60E-05,-1.60E-05,-1.70E-05,0.016281,8.00E-06,0.000132
11,14,-0.02345,-0.02345,-0.01345,-0.02345,-0.05345,-0.02345,-0.02345,-0.02345,-0.04345,-0.03345,-0.16345,-0.00345,-0.00345,0.42655,0.28655,0.28474,0.28491,0.28469,0.38754,0.09706,0.01543,-0.01277,-0.01564,-0.01657,-0.01433,-0.00839,-0.01047,-0.00702,-0.00338,-0.00177,-0.00345,-0.00345,-0.00345,-0.01345,-0.00345,-0.00345,0.00655,0.04655,0.02655,0.03655,0.02655,0.01655,0.01655,0.00655,-0.00345,-0.00345,0.00655,0.00655,0.02655,0.02655,0.03655,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,0.00058,0.00057,-0.00013,2.00E-05,-5.00E-05,0,2.00E-05,3.00E-05,0.00047,3.00E-05,3.00E-05,3.00E-05,-0.01255,3.00E-05,3.00E-05,3.00E-05,-0.01555,3.00E-05,-0.00345,-0.00345,3.00E-05,-0.00013,3.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,-0.00013,-0.00013,-0.00013,-0.00013,-0.00013,0.0162,0.00059,3.00E-05
80,13,-0.02182,-0.02182,-0.01182,-0.02182,-0.01182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,0.52818,-0.02182,-0.02182,-0.01796,-0.01795,-0.01791,-0.01787,-0.01781,-0.01779,-0.01777,-0.01771,-0.01765,-0.01755,-0.01531,-0.01715,-0.0167,-0.01591,-0.01545,-0.01182,-0.01182,-0.01182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.02182,-0.01182,-0.01182,-0.02182,-0.01182,-0.01182,-0.02182,-0.02182,-0.02182,-0.05182,-0.00182,-0.02182,-0.02182,-0.08182,-0.02182,0.02818,-0.01182,-0.01182,-0.00182,-0.00182,-0.00182,-0.00182,-0.00182,-0.01182,-0.04182,-0.02182,-0.09182,-0.01182,-0.01182,-0.02182,-0.01934,-0.01829,-0.00213,-0.02795,0.00339,0.03751,-0.03463,-0.32121,-0.06988,0.04192,0.05181,0.05181,-0.01727,0.05902,0.04735,0.05821,-0.01765,0.06101,0.06818,0.06818,0.09459,-0.00213,0.11164,0.15062,0.1407,0.1407,0.2588,0.33185,0.22767,0.20691,0.17549,0.21181,0.20654,-0.00213,-0.00215,-0.00214,-0.00214,-0.00218,-0.0174,-0.01675,0.43275
14,15,0.0257,0.0257,0.0057,0.0257,0.0757,0.0157,0.0257,0.0157,0.0157,0.0457,0.0057,0.1357,-0.0043,-0.1943,0.4257,0.1539,0.15414,0.15459,-0.142213,-0.01291,-0.02241,-0.00184,0.01241,0.01554,0.01292,0.00433,0.00948,0.00625,0.00308,0.00177,-0.0043,0.0057,0.0057,0.0057,0.0057,-0.0043,-0.0043,0.0257,-0.0343,-0.0243,-0.0143,-0.0143,-0.0143,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0143,-0.0143,-0.0243,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,0.0057,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.00135,-0.00135,0.00028,0.00021,0.00024,0.0002,0.00019,0.00017,-0.00128,0.00016,0.00016,0.00016,0.01094,0.00016,0.00016,0.00016,0.01402,0.00016,-0.0043,-0.0043,0.00016,0.00028,0.00016,0.00016,0.00016,0.00016,0.00017,0.00017,0.00017,0.00017,0.00018,0.00017,0.00017,0.00028,0.00028,0.00028,0.00028,0.00029,-0.01101,-0.00136,0.00017
12,15,-0.01337,-0.01337,-0.01337,-0.01337,-0.01337,-0.02337,-0.05337,-0.02337,-0.03337,-0.07337,-0.02337,-0.21337,-0.00337,0.23663,0.40663,0.31731,0.31857,0.32962,0.23304,0.0696,0.03346,0.00405,-0.00705,-0.01169,-0.01075,-0.00875,-0.00863,-0.00596,-0.00284,-0.00139,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,0.00663,0.01663,-0.02337,-0.06337,0.03663,0.02663,0.01663,0.01663,0.00663,-0.00337,-0.00337,0.00663,0.00663,0.02663,0.02663,0.03663,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,-0.00337,0.00072,0.00072,-1.00E-05,0.00016,8.00E-05,0.00012,0.00014,0.00014,0.00061,0.00014,0.00014,0.00014,-0.01014,0.00014,0.00014,0.00014,-0.01131,0.00014,-0.00337,-0.00337,0.00014,-1.00E-05,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,-1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0.01619,0.00073,0.00014
16,17,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-1.028895,3.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,-0.000289,1.00E-06,1.00E-06,1.00E-06,1.00E-06,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,-0.000289,0,0,0,0,0,0,-0.000289,0,0,0,1.00E-06,0,0,0,1.00E-06,0,-0.000289,-0.000289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,-0.000289,0
18,17,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,1.02876,1.02877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
