Id,latitude,longitude,Weight
179001,29.682581,123.32214,0.29912904
179,30.817419,122.942901,0.29831484
177,31.494895,120.961509,0.29728076
174,32.097496,123.410455,0.2885049
173,32.001423,122.53509,0.28775355
171001,33.062741,122.549116,0.27495497
171,33.282401,123.111221,0.27178353
172,33.282401,123.645272,0.2707795
170,33.929205,122.478983,0.24428384
165,34.596758,122.459761,0.22927701
166,34.64953,123.252006,0.22228141
168,34.832656,124.011003,0.21728285
169,35.015331,124.699867,0.21614832
163,35.1741,122.45093,0.2094374
164,35.137565,121.734013,0.20779099
162,35.731597,122.444696,0.18027793
161,36.260226,122.45093,0.16667552
106,37.25118,122.642627,0.14432809
124,37.107747,124.624019,0.16003117
125,37.017086,125.444837,0.16565919
125001,36.906579,126.214224,0.15669629
126,36.964313,127.079199,0.15604377
127,35.703181,124.987153,0.25039572
128,34.88137,126.498912,0.26047516
129,34.759135,127.145176,0.2629485
130,35.003153,127.862093,0.26119158
132,33.438013,126.506185,0.30601892
131001,32.672583,125.753942,0.2979159
131,32.830902,126.526966,0.3073643
133,33.026206,127.187776,0.3026415
134,33.160618,128.058986,0.29076403
135,30.256315,125.135212,0.32574677
136,30.256315,125.922781,0.33675063
137,31.061437,127.538961,0.3133152
138,30.317206,127.87612,0.31230316
139,29.829171,125.767969,0.33490345
141,28.317707,124.955463,0.35464558
143,28.513011,126.318644,0.36494097
144,29.074567,126.852695,0.36686653
145,28.793563,127.513505,0.367826
142,28.024976,127.063614,0.32748148
140001,28.317707,124.308679,0.38267308
151,28.305528,122.790686,0.4200086
152,28.281172,122.200528,0.45672795
107,37.882198,124.59129,0.27882832
108,38.743701,125.687965,0.41669795
109,38.726561,126.347217,0.4440631
110,38.611093,127.079199,0.48951173
111,39.015232,127.64494,0.4862627
113,37.773044,127.811182,0.50065005
114,37.397771,128.376923,0.493513
112,38.228152,127.531688,0.4991895
115,41.132005,127.178944,0.41553128
116,41.132005,127.630394,0.41783586
117,40.929033,128.259514,0.42432198
118,39.980928,129.252288,0.4054088
119,40.698998,128.954612,0.41739276
105,37.366198,121.619202,0.20329389
102,37.193897,120.694484,0.26452667
103,37.904299,120.830074,0.25842503
104,38.118998,121.459714,0.2538976
100,37.017086,119.744829,0.36422098
101,38.470365,119.525598,0.3622431
96,37.050464,118.613866,0.49850842
97,35.703181,118.713092,0.5083921
98,35.052317,119.070511,0.50391066
99,34.368527,119.463776,0.4971462
93,37.022047,117.590442,0.52119946
94,38.294456,117.074573,0.5174074
95,39.349008,117.546803,0.5064886
92,36.792464,116.797677,0.54044604
160,35.461869,116.630916,0.64574987
159001,34.104212,117.163409,0.65635955
159,32.925171,117.67616,0.6609413
156,32.00458,118.250732,0.65786827
157,32.636048,119.702749,0.651284
158,33.001849,120.489799,0.6444131
155,31.097972,118.690753,0.64481175
154,31.220206,119.758855,0.63868666
153,28.999242,119.927694,0.5652907
55,26.900962,120.694484,0.9402698
59,23.546512,122.411447,1.0046742
60,23.632211,120.892415,0.9796901
61,24.94747,119.027912,0.9685582
62,23.603795,119.010249,0.9683982
147,25.459861,125.999668,0.42704993
150,23.001645,127.232973,0.46495575
148,24.406662,126.440208,0.4855606
149,23.946592,128.248605,0.47783747
63,20.524485,124.176206,0.9870128
64,20.517719,122.035845,0.97473484
65,20.688215,120.827477,0.97094274
66,21.372005,119.393643,0.9576272
67,20.078397,125.774722,0.9341804
68,19.492485,126.505666,0.91071725
69,18.491607,126.843344,0.90948254
70,19.663432,127.433502,0.86958194
71,20.029233,128.839282,0.81869125
72,19.314772,130.127135,0.8166836
56,26.326326,119.309484,0.9289198
57,26.277613,118.184755,0.9024894
58,26.326326,116.975867,0.89460653
53,27.986186,117.706811,0.9009885
54,28.034899,115.879712,0.8867675
52,28.863476,119.160386,0.9065387
46001,30.855308,118.035657,0.8271605
50,29.816993,117.341599,0.8208174
51,29.450741,115.401767,0.8036668
47,31.281098,116.638709,0.8108848
48,31.232384,115.823605,0.7872077
49,31.03708,114.248986,0.7736791
42,33.659478,115.418911,0.71608865
45,33.343293,114.028716,0.7091249
46,33.014027,113.012045,0.70049644
41,34.057754,116.281809,0.70840126
35,36.478985,115.157081,0.6512642
36,36.052743,114.094693,0.671212
39,35.528174,113.925854,0.66648936
40,34.917905,113.785068,0.664883
37,35.906604,112.506047,0.6695255
91,36.677897,116.104138,0.57027686
90,40.606082,114.71706,0.43754062
89,41.122082,116.566498,0.4148713
31,38.398198,114.287949,0.59250236
32,37.967897,112.934119,0.60094464
34,38.312047,111.216636,0.59300864
33,37.377023,111.519507,0.5956184
28001,40.376498,113.59441,0.50361055
28,39.573631,113.825589,0.5388855
29,39.401781,112.47176,0.54341686
30,39.888914,111.051433,0.5413589
27,41.457662,112.89152,0.7209149
26,42.043574,111.451971,0.8955471
23,42.531609,111.451971,0.9135337
22,42.342169,107.488149,0.9875004
87,42.106721,117.562388,0.3697446
86,42.771116,118.660622,0.34848398
83,43.580298,118.860112,0.33437443
77,44.158091,119.725607,0.29316008
81,43.204574,120.324596,0.33038142
78,42.540179,120.657079,0.32517025
79,41.471193,120.790073,0.30424643
80,40.662012,120.457589,0.29929295
82,45.795399,124.426088,0.080471605
84,43.547371,117.569142,0.32854852
85,43.390857,116.332201,0.32693216
121,43.440924,127.128552,0.3065047
122,44.31235,126.977896,0.23438796
123,45.140476,126.37579,0.14924079
120,42.297515,127.629355,0.35884896
75,47.085849,120.264853,0.23291989
76,44.218532,120.727212,0.28964493
73,46.626682,119.175451,0.22688712
74,46.110682,118.019553,0.22561213
227,48.800286,121.207235,0.14026651
215001,48.887339,122.110135,0.08925213
215,48.98251,124.15075,0.20894872
219,47.487734,122.746528,0.58774084
220,47.493147,122.160527,0.5887948
221,46.752524,122.160527,0.64617693
222,45.837346,121.608293,0.6432121
223,45.140476,121.608293,0.6365012
223001,46.055203,122.813025,0.66057974
224,45.445385,122.963681,0.6645607
225,44.797228,122.931472,0.6552876
226,43.882049,122.379238,0.65305054
214,48.98251,124.816755,0.20504713
216,48.346982,124.816755,0.1946964
217,47.740321,124.816755,0.19413441
218,48.116045,125.548738,0.19297974
201,50.080363,124.683243,0.14477813
203,49.56752,124.861952,0.1533195
204,49.405143,125.979927,0.17182341
205,49.405143,126.666193,0.19921377
211,48.809307,126.801264,0.16527353
212,48.008695,126.835032,0.16257295
206,49.390258,127.620004,0.23669423
207,49.415968,128.543164,0.24960946
208,49.812891,129.874655,0.2642556
209,49.046559,129.980634,0.25446522
210,48.310898,129.980634,0.25147358
213,50.854814,130.686641,0.26666287
200001,50.629289,124.683243,0.13777316
199,51.264817,124.683243,0.13810089
196,51.253541,125.391328,0.14359199
197,51.253541,126.203314,0.1473265
198,50.885485,126.979974,0.1463931
233,52.080764,128.109897,0.25976467
232,52.080764,129.203974,0.26082876
231,52.69374,129.239301,0.26537922
230,52.69374,129.945308,0.26588786
234,52.733883,130.700149,0.26927722
194,53.245824,125.426654,0.13344134
195,52.824995,125.847973,0.13149385
192,53.28732,124.683243,0.13168195
193,53.28732,123.918012,0.13064787
234001,54.253467,130.700149,0.2606417
235,55.4289,130.700149,0.28123358
236,54.618365,129.489702,0.21346045
237,54.61611,128.909415,0.21216303
238,54.240837,128.909415,0.20973976
240,53.507883,128.917208,0.209298
239,54.282334,126.935816,0.18576822
190001,55.237655,124.685321,0.11310401
187,56.407676,126.214224,0.09898573
188,54.934099,126.214224,0.11101644
189,54.934099,126.946206,0.13320771
186,56.407676,126.979454,0.0976758
185,56.407676,127.877678,0.09689254
235001,56.320624,130.706383,0.28397033
241,57.043204,130.340132,0.28187114
242,57.043204,129.175402,0.2801645
243,57.967403,130.340132,0.26651818
244,58.955651,130.304286,0.25203747
245,59.989906,130.340132,0.21485424
183,61.030476,125.426654,0.075409554
184,60.203252,125.07391,0.07455611
182,61.087759,126.214224,0.07896032
249,62.052101,126.803862,0.07225237
248,62.041276,128.709925,0.082983725
247,62.052101,130.304286,0.13363633
246,61.030025,130.340132,0.16696586
181,64.231118,126.110323,0.05804265
266,53.882254,122.653537,0.011711909
180004,57.371567,123.955936,0.05401725
190,56.407676,124.816755,0.10658116
191,56.407676,124.251014,0.105878405
180003,61.960087,124.023471,0.06863305
180002,63.444038,124.855718,0.06754722
180001,64.202702,126.83659,0.059347797
180,64.439052,127.811182,0.047453076
287,49.65773,120.528762,0.002735386
286,50.079461,121.095541,0.003568692
285,50.009097,121.689336,0.009256681
284,50.218384,122.118447,0.014182202
200,51.264817,124.051005,0.13651472
274,52.475883,120.033673,0.32864532
275,52.520988,121.383347,0.32554275
276,52.811013,121.840512,0.3241673
265,53.87639,121.752196,0.360723
268,53.87639,119.863276,0.36300182
269,54.00133,119.212856,0.3726721
271,54.225051,117.920327,0.38471302
270,54.930942,118.266318,0.38363886
318,44.542836,111.47431,0.50837433
317,44.894654,112.036934,0.50955886
316,45.92936,112.059273,0.506621
315,45.909965,112.959055,0.50137013
313,46.222091,113.813641,0.4774471
314,44.972686,113.790783,0.4757405
312,46.456636,114.668226,0.4122717
310,46.749367,115.56749,0.35044464
311,46.551357,116.521301,0.3492902
309,47.514797,116.151413,0.3046093
297,48.174681,116.399736,0.27206242
298,48.936503,116.084916,0.27388823
299,49.502569,114.960188,0.2720611
296,48.018618,117.141589,0.23267964
294,47.862556,117.996695,0.1630615
293,47.830982,118.977,0.14456697
291,48.80615,119.373383,0.17372665
295,48.389381,117.816426,0.23135452
288,49.866566,119.703788,0.24248047
289,49.893177,118.760886,0.23520645
290,49.873782,118.176443,0.23153132
282,50.78445,120.298101,0.28603107
277,51.701883,119.86899,0.3107018
278,52.509712,118.918296,0.2759793
279,52.529107,117.794088,0.2556035
280,52.236376,116.826769,0.24795052
281,51.689254,116.804431,0.24712715
272,55.314334,116.995609,0.38250434
273,53.565166,117.590442,0.3817013
264,56.003085,120.391093,0.32810152
257001,56.523145,120.557334,0.30364665
258001,57.349917,120.79319,0.28450018
259001,56.754082,122.187541,0.2812876
260001,55.085201,120.166147,0.3391243
261,57.124393,118.764523,0.3137139
262,56.046837,118.020072,0.31449687
263,56.693641,117.026779,0.30970338
255,62.654252,122.34547,0.20084989
258,60.790518,122.444696,0.1920698
